City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Beringovskiy,RU,2022-07-25 17:14:46,63.05,179.3167,45.54,75,100,7.14,overcast clouds
60,Severo-Kurilsk,RU,2022-07-25 17:15:29,50.6789,156.125,50.43,92,100,9.42,overcast clouds
61,Umm Kaddadah,SD,2022-07-25 17:15:30,13.6017,26.6876,95.32,28,84,6.38,broken clouds
62,Albany,US,2022-07-25 17:14:36,42.6001,-73.9662,82.27,79,100,3.0,overcast clouds
63,Akcakoca,TR,2022-07-25 17:15:30,41.0866,31.1162,72.72,77,64,6.85,broken clouds
64,Menongue,AO,2022-07-25 17:15:30,-14.6585,17.691,68.05,23,0,5.7,clear sky
65,Narsaq,GL,2022-07-25 17:15:31,60.9167,-46.05,57.42,81,100,5.46,overcast clouds
66,Cape Town,ZA,2022-07-25 17:14:14,-33.9258,18.4232,61.27,54,0,5.01,clear sky
67,Mar Del Plata,AR,2022-07-25 17:15:31,-38.0023,-57.5575,51.82,91,100,15.99,overcast clouds
68,Angoche,MZ,2022-07-25 17:15:31,-16.2325,39.9086,73.15,63,1,12.59,clear sky
69,Bilma,NE,2022-07-25 17:15:32,18.6853,12.9164,103.66,9,2,15.43,clear sky
70,Casas Grandes,MX,2022-07-25 17:15:32,30.3667,-107.95,79.43,46,91,3.58,overcast clouds
71,Alice Springs,AU,2022-07-25 17:15:32,-23.7,133.8833,42.35,81,0,0.0,clear sky
72,Mani,CO,2022-07-25 17:15:33,4.8172,-72.2886,81.34,72,90,3.38,overcast clouds
73,Pangnirtung,CA,2022-07-25 17:11:19,66.1451,-65.7125,50.77,70,68,4.81,broken clouds
74,Mount Gambier,AU,2022-07-25 17:15:33,-37.8333,140.7667,46.33,81,98,12.62,light rain
75,Mahebourg,MU,2022-07-25 17:15:34,-20.4081,57.7,68.29,88,75,6.91,broken clouds
76,Shache,CN,2022-07-25 17:15:34,38.4167,77.2406,86.72,17,8,2.01,clear sky
77,Dzerzhinsk,RU,2022-07-25 17:15:34,56.2389,43.4631,73.22,94,40,4.47,light rain
78,Andenes,NO,2022-07-25 17:15:35,69.3143,16.1194,57.92,88,0,3.44,clear sky
79,Butaritari,KI,2022-07-25 17:15:35,3.0707,172.7902,81.82,77,100,19.89,light rain
80,Egvekinot,RU,2022-07-25 17:15:36,66.3167,-179.1667,35.29,77,98,12.75,overcast clouds
81,Baghdad,IQ,2022-07-25 17:15:36,33.3406,44.4009,94.91,14,0,5.75,clear sky
82,Waipawa,NZ,2022-07-25 17:15:36,-41.4122,175.5153,50.36,94,100,17.31,light rain
83,Arraial Do Cabo,BR,2022-07-25 17:15:37,-22.9661,-42.0278,82.36,69,0,21.85,clear sky
84,Khatanga,RU,2022-07-25 17:15:37,71.9667,102.5,66.04,76,100,0.83,overcast clouds
85,Haines Junction,CA,2022-07-25 17:15:37,60.7522,-137.5108,57.15,77,100,1.14,overcast clouds
86,Port Alfred,ZA,2022-07-25 17:15:38,-33.5906,26.891,54.18,80,0,13.69,clear sky
87,Jamestown,US,2022-07-25 17:10:50,42.097,-79.2353,76.51,63,100,10.36,overcast clouds
88,Hobart,AU,2022-07-25 17:11:42,-42.8794,147.3294,55.26,90,100,10.36,light intensity shower rain
89,Talara,PE,2022-07-25 17:15:38,-4.5772,-81.2719,75.96,60,0,13.8,clear sky
90,Port Hardy,CA,2022-07-25 17:15:39,50.6996,-127.4199,64.58,82,40,8.05,scattered clouds
91,Iqaluit,CA,2022-07-25 17:13:39,63.7506,-68.5145,46.13,93,100,11.5,fog
92,Punta Arenas,CL,2022-07-25 17:16:39,-53.15,-70.9167,39.31,65,0,11.5,clear sky
93,Thinadhoo,MV,2022-07-25 17:11:50,0.5333,72.9333,82.63,73,96,10.0,overcast clouds
94,Olafsvik,IS,2022-07-25 17:16:39,64.8945,-23.7142,52.99,66,95,5.21,overcast clouds
95,Bolshoye Selo,RU,2022-07-25 17:16:40,57.7177,38.9334,67.46,87,60,6.13,broken clouds
96,Oda,JP,2022-07-25 17:16:40,35.1833,132.5,75.13,92,2,0.98,clear sky
97,Lingao,CN,2022-07-25 17:16:40,19.9103,109.6859,81.37,82,11,2.51,few clouds
98,Mbandaka,CD,2022-07-25 17:13:40,0.0487,18.2603,72.84,93,100,2.71,moderate rain
99,Salumbar,IN,2022-07-25 17:16:41,24.1333,74.05,77.41,91,100,5.59,light rain
100,Atuona,PF,2022-07-25 17:13:33,-9.8,-139.0333,76.23,70,95,12.17,overcast clouds
