City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
194,Huntington,US,83.53,overcast clouds,38.4193,-82.4452,Ramada Limited Huntington
195,Dimbokro,CI,81.3,overcast clouds,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
198,Griffith,US,79.47,scattered clouds,41.5284,-87.4237,Apartment above Depot Bar
199,Waw,SS,79.65,broken clouds,7.7029,27.9953,Universal Gab Hotel
200,Saint Anthony,US,76.66,scattered clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
202,Soyo,AO,72.39,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
203,Port Blair,IN,81.72,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
205,Bemidji,US,73.06,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
210,Poum,NC,72.86,clear sky,-20.2333,164.0167,
211,Mpulungu,ZM,76.37,scattered clouds,-8.7623,31.1141,Chela moche guest house
214,Bay City,US,74.1,broken clouds,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
216,Kavieng,PG,81.21,moderate rain,-2.5744,150.7967,Nusa Island Retreat
218,Fort Morgan,US,74.05,broken clouds,40.2503,-103.8,Hampton Inn Fort Morgan
220,Kieta,PG,77.63,light rain,-6.2167,155.6333,Uruna Bay Retreat
223,Lowestoft,GB,72.41,overcast clouds,52.4752,1.7516,Premier Inn Lowestoft hotel
224,Dawei,MM,78.4,broken clouds,14.0833,98.2,Hotel Dawei
225,Hobyo,SO,76.66,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
226,Slavonice,CZ,87.71,clear sky,48.9975,15.3515,Design Hotel Besídka
227,Touros,BR,82.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
228,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
233,Khowai,IN,76.35,overcast clouds,24.1,91.6333,RD GAMING
234,Los Llanos De Aridane,ES,74.95,clear sky,28.6585,-17.9182,Valle Aridane
237,Hukuntsi,BW,72.43,scattered clouds,-24.0,21.75,Entabeni Hotel
238,Tanga,TZ,74.1,few clouds,-5.0667,39.1,Lulu Image Hotel
240,Anqiu,CN,71.11,clear sky,36.4342,119.1925,Super 8 Anqiu Heping Road Coach Station
242,Chingirlau,KZ,72.59,overcast clouds,51.095,54.0814,Хостыл Аққу
247,Wittstock,DE,80.98,overcast clouds,53.1612,12.4829,Hotel Stadt Wittstock
251,Port Moresby,PG,75.6,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
252,Dingle,PH,76.37,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
253,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
254,Arboletes,CO,81.37,overcast clouds,8.8505,-76.4269,Hotel Playa Star
257,Saint George,US,88.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
259,Methoni,GR,85.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
260,Westport,US,86.72,heavy intensity rain,41.1415,-73.3579,The Westport Inn
262,Mityana,UG,70.9,overcast clouds,0.4175,32.0228,Green Valley Hotel
264,Talas,TR,74.07,clear sky,38.6908,35.5538,Fimaj Residence
269,Hamilton,US,84.94,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
271,Lasa,IT,83.7,light rain,46.6166,10.7002,Pension Feldgärtenhof
274,Buta,CD,76.87,broken clouds,2.7858,24.73,Hôtel BOPANDO
275,Lewistown,US,84.94,broken clouds,40.5992,-77.5714,Quality Inn & Suites
278,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
279,Kathmandu,NP,70.02,light rain,27.7167,85.3167,Hotel Shanker Kathmandu
281,Semnan,IR,87.64,clear sky,35.5729,53.3971,Semnan Tourist Hotel
282,Andros Town,BS,85.96,broken clouds,24.7,-77.7667,Hanks place
284,Koroni,GR,85.06,clear sky,36.8,21.95,Apartments Xenios Zeus 1
285,Santa Isabel Do Rio Negro,BR,88.75,scattered clouds,-0.4139,-65.0192,Hotel GSA
287,Pemangkat,ID,76.57,overcast clouds,1.1667,108.9667,Ramah Kost KITA
290,Jinchang,CN,80.01,few clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
292,West Wendover,US,83.41,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
295,Botou,CN,79.11,moderate rain,38.0667,116.5667,Hanting Hotel Huanghua City Hall
296,Kibala,TD,87.75,few clouds,9.1104,18.3463,Prasant Hotels
299,Muisne,EC,75.97,overcast clouds,0.6,-80.0333,Quinta Samay
300,Labuhan,ID,72.95,scattered clouds,-6.8844,112.2051,DoubleFAG
303,Bandarbeyla,SO,76.64,few clouds,9.4942,50.8122,JABIR HOTEL
311,Fereydun Kenar,IR,77.22,overcast clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
312,Boende,CD,75.22,overcast clouds,-0.2167,20.8667,
313,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
314,Las Lomas,PA,83.61,scattered clouds,8.4333,-82.4,Hotel Castilla
317,Yumen,CN,78.67,broken clouds,40.2833,97.2,
322,Yinchuan,CN,84.43,few clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
323,Quelimane,MZ,71.55,few clouds,-17.8786,36.8883,Hotel Flamingo
326,Lata,PT,85.5,clear sky,40.1629,-8.3327,Casa Maquia
328,Tevaitoa,PF,76.86,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
330,Bacolod,PH,77.65,overcast clouds,10.6667,122.95,Planta Hotel & Residences
334,Margate,GB,72.88,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
335,Abonnema,NG,74.91,light rain,4.7084,6.7931,Corper's Lodge Obonoma
337,Kamaishi,JP,72.03,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
338,Tucuman,AR,80.6,smoke,-26.8241,-65.2226,Dallas Hotel Tucuman
339,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
340,Mitsamiouli,KM,73.69,few clouds,-11.3847,43.2844,Foyer ADM
347,Lazaro Cardenas,MX,80.65,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
348,Dumai,ID,74.5,moderate rain,1.6833,101.45,Grand Zuri Dumai
350,Ninghai,CN,74.73,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
352,Ambilobe,MG,72.52,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
354,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Pirineos
355,Cayenne,GF,87.84,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
356,Xuddur,SO,80.69,broken clouds,4.1213,43.8894,Banjanay Hotel
357,Kilindoni,TZ,75.96,clear sky,-7.9139,39.6668,Bustani B&B
359,Xuanwu,CN,80.55,scattered clouds,32.069,118.8138,东方珍珠饭店
360,Balkanabat,TM,85.03,light rain,39.5108,54.3671,Nebitchi Hotel
362,Bria,CF,72.99,light rain,6.5423,21.9863,WFP Guesthouse
364,Jiuquan,CN,75.54,broken clouds,39.7432,98.5174,Jiuquan Hotel
365,Tepalcatepec,MX,81.0,overcast clouds,19.1833,-102.85,Maria De Jesus
367,San Jose,US,72.82,few clouds,37.3394,-121.895,The Westin San Jose
369,Eldorado,BR,86.7,scattered clouds,-23.7869,-54.2836,Villa Verde Hotel
370,Alice Town,BS,83.86,scattered clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
371,Prescott Valley,US,81.0,overcast clouds,34.5894,-112.3252,Hampton Inn & Suites Prescott Valley
372,Hambantota,LK,78.69,overcast clouds,6.1241,81.1185,Bungalow 63
375,Akdepe,TM,84.29,broken clouds,42.0551,59.3788,
378,Kota Bahru,MY,80.55,few clouds,6.1333,102.2386,Grand Riverview Hotel
379,Alofi,NU,71.49,broken clouds,-19.0595,-169.9187,Taloa Heights
380,Sao Filipe,CV,78.22,overcast clouds,14.8961,-24.4956,Hotel Xaguate
382,Kokoda,PG,71.46,broken clouds,-8.8785,147.7407,Daito Guest House
384,Pitimbu,BR,84.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
385,Bolobo,CD,81.03,scattered clouds,-2.1667,16.2333,Hotel de Stephen
386,Asaba,NG,74.98,light rain,6.2006,6.7338,Crimson Suite Hotels
388,Manavgat,TR,83.62,clear sky,36.7867,31.4431,Lake & River Side Hotel & Spa
390,Bereda,ES,75.42,clear sky,43.2686,-7.5406,Pazo de Verdes
393,Weligama,LK,78.28,moderate rain,5.9667,80.4167,Weligama Bay Resort
394,Kaitong,CN,71.82,broken clouds,44.8135,123.15,Jinhe Fashion Hotel
396,Umm Lajj,SA,86.56,clear sky,25.0213,37.2685,Moon light Furnished Units
397,Porbandar,IN,81.84,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
399,Nouakchott,MR,84.13,clear sky,18.0858,-15.9785,HOTEL IMAN
400,Paka,MY,76.93,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
401,Port Hueneme,US,88.25,haze,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
402,Hue,VN,82.51,few clouds,16.4667,107.6,Saigon Morin Hotel
403,Puerto Cabezas,NI,82.36,few clouds,14.0351,-83.3888,Cabaña Caribe
404,Laguna,US,86.97,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
407,Fort Nelson,CA,71.19,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
409,Camacha,PT,72.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
410,Bud,US,80.55,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
411,Wuzhou,CN,80.92,clear sky,23.4833,111.3167,Wuzhou Hostel
416,Surt,LY,83.46,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
417,Inirida,CO,72.37,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
420,Pinhao,BR,74.68,clear sky,-25.6956,-51.6597,Pinhão Park Hotel
423,Bassila,BJ,79.41,overcast clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
424,Chenghai,CN,85.91,few clouds,23.4632,116.768,Guangdong Hotel
425,Mahajanga,MG,73.42,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
426,Qui Nhon,VN,79.21,overcast clouds,13.7667,109.2333,Seagull Hotel
430,Lihula,EE,70.9,overcast clouds,58.6814,23.8453,Hostel Kontor majutus
431,Altamont,US,82.78,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
432,Kaputa,ZM,75.33,few clouds,-8.4689,29.6619,Chelelwa Charlets
433,Salta,AR,79.57,few clouds,-24.7859,-65.4117,Hotel Alejandro I
435,Show Low,US,74.66,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
438,The Valley,AI,87.66,haze,18.217,-63.0578,CeBlue Villas & Beach Resort
441,Xiantao,CN,80.82,scattered clouds,30.3833,113.4,City Convenient Chain Hotel
442,Hirara,JP,84.18,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
444,Ilheus,BR,78.62,broken clouds,-14.7889,-39.0494,Barravento Hotel
446,Candolim,IN,80.6,broken clouds,15.5181,73.7626,Resort Terra Paraiso
447,Biharamulo,TZ,73.94,overcast clouds,-2.6319,31.3089,Annex Lodge
448,Pafos,CY,83.98,clear sky,34.7667,32.4167,Elysium Hotel
450,Lethem,GY,86.34,scattered clouds,3.3803,-59.7968,Savannah Inn
451,Asfi,MA,87.3,overcast clouds,32.2994,-9.2372,Hôtel Abda
454,Nebbi,UG,72.48,broken clouds,2.4783,31.0889,Satellite One Hotel
456,Ponta Delgada,PT,75.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
463,Samarai,PG,79.38,broken clouds,-10.6167,150.6667,Nuli Sapi
468,Omboue,GA,74.39,broken clouds,-1.5746,9.2618,Hotel Olako
469,Baoding,CN,75.0,overcast clouds,38.8511,115.4903,Xiu Lan Hotel
470,Mirabela,BR,82.45,few clouds,-16.2628,-44.1644,Hotel e Restaurante Barril
473,Buala,SB,79.75,light rain,-8.145,159.5921,Maringe Lagoon Lodge
477,Kavaratti,IN,81.28,few clouds,10.5669,72.642,Green leaf
478,Catuday,PH,80.87,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
480,Svetlyy,RU,74.97,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
482,Ronneby,SE,73.9,clear sky,56.21,15.276,Hotell Davids Kulle
483,Foki,RU,71.98,scattered clouds,56.693,54.3499,
484,Ambanja,MG,73.38,light rain,-13.6833,48.45,Hotel Salama and Fast Food
487,Cravo Norte,CO,75.34,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
488,San Vicente,AR,80.69,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
490,Tura,IN,73.96,light rain,25.5198,90.2201,Hotel RIKMAN Continental
492,Lujiang,CN,83.46,few clouds,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
493,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
495,Pahrump,US,80.65,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
496,Karnobat,BG,75.04,broken clouds,42.65,26.9833,Spa Hotel Park
497,Imbituva,BR,76.71,overcast clouds,-25.23,-50.6044,Hotel Estrela
499,Yaval,IN,78.49,overcast clouds,21.1667,75.7,Swapnil Chaudhari Home
500,Roma,US,80.73,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
501,Mindelo,CV,85.55,scattered clouds,16.8901,-24.9804,Hotel Gaudi
503,Matara,LK,77.99,light rain,5.9485,80.5353,Amaloh Boutique Resort
507,Dapaong,TG,84.88,scattered clouds,10.8639,0.205,Hotel Caroli
508,Isangel,VU,74.01,few clouds,-19.55,169.2667,Tanna Lodge
509,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
510,Odweyne,SO,81.3,broken clouds,9.4092,45.064,Eng Hiirey House
511,Bondo,CD,76.91,overcast clouds,3.8146,23.6866,
514,Limpapa,PH,77.41,overcast clouds,7.1197,121.9106,The Ranch ZC
517,Daru,PG,76.05,overcast clouds,-9.0763,143.2092,Daru Lodge
520,Ligatne,LV,70.25,broken clouds,57.2343,25.0406,Kūrortviesnīca Līgatne
521,Wattegama,LK,77.92,moderate rain,6.7989,81.4808,
